sample	group	subject
GSM3665805	veh	1
GSM3665806	veh	2
GSM3665807	veh	3
GSM3665808	veh	4
GSM3665809	veh	5
GSM3665810	cort	6
GSM3665811	cort	7
GSM3665812	cort	8
GSM3665813	cort	9
GSM3665814	cort	10
